id_cliente,segmento_cliente,capital_social,idade_cnpj,serasa_contagem_negativacoes,serasa_contagem_protestos,serasa_socio_tem_negativacao,ifood_contagem_avaliacoes,ifood_faixa_preco,google_maps_avaliacao,google_maps_contagem_avaliacoes,google_maps_tem_website,inadimplente,tem_google_maps,tem_ifood,tem_credores,natureza_juridica_cod,fonte_cliente_1,fonte_cliente_2,fonte_cliente_4,fonte_cliente_5,uf_PE,municipio_CARPINA,municipio_CARUARU,municipio_FORTALEZA,municipio_IGARASSU,municipio_IPOJUCA,municipio_JABOATAO DOS GUARARAPES,municipio_OLINDA,municipio_PAULISTA,municipio_RECIFE,credor_alimentos_e_bebidas,credor_financeiro,credor_saúde,credor_bancos_e_financeiro,credor_tecnologia,credor_telecomunicações,credor_distribuição,cnae_divisao,cnae_secao,qtd_pedidos,valor_total_pedidos,valor_medio_pedido,valor_max_pedido,atraso_total,atraso_max,pedidos_com_atraso,score_serasa_negativo,presenca_digital,capital_por_ano,ticket_medio_alto,reputacao_google
5825530233005,Hotel,600000.0,16500.0,0.0,0.0,1.0,0.0,0,4.25,1750.0,1.0,0.0,1,0,0,206.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,55,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,13272.73,0,31.7388
5827371270317,Mercearia & Mercado,60000.0,6500.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,213.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,47,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3369.23,0,0.0
5831418118317,Padaria,150000.0,16500.0,0.0,0.0,1.0,0.0,0,4.75,1750.0,1.0,0.0,1,0,0,230.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3318.18,0,35.4727
5832302002349,Bar,40000.0,6500.0,0.0,0.0,0.0,2.5,5,4.25,1750.0,1.0,0.0,1,1,0,206.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,56,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2246.15,0,31.7388
5833998434477,Restaurante Brasileiro,9000.0,16500.0,0.0,0.0,0.0,350.0,4,4.25,400.0,1.0,0.0,1,1,0,206.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,56,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,199.09,0,25.4743
5834091430061,Saudável,60000.0,6500.0,0.0,0.0,0.0,1250.0,4,4.75,1750.0,1.0,0.0,1,1,0,206.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,56,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3369.23,0,35.4727
5834180722861,Conveniência,85000.0,6500.0,0.0,0.0,1.0,40.0,3,4.25,250.0,1.0,0.0,1,1,0,230.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,56,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,4773.08,0,23.4832
5843535397037,Churrascaria,25000.0,6500.0,0.0,0.0,1.0,350.0,2,4.25,7500.0,1.0,0.0,1,1,0,206.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,56,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1403.85,0,37.9219
5843674824877,Restaurante Brasileiro,85000.0,6500.0,2.0,0.0,0.0,0.0,0,4.25,1750.0,1.0,0.0,1,0,1,230.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,56,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,4773.08,0,31.7388
5844887863469,Hambúrguer,25000.0,6500.0,1.0,0.0,1.0,0.0,1,4.25,40.0,1.0,0.0,1,1,1,213.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,56,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,1403.85,0,15.7827
